Bibref,Component: Vehicles,Component: Intersection,Component: Roadside,Component: TMC,Component: Cloud end-points,Technology: Sensing,Technology: Control,Technology: Inference,Technology: Application,Technology: Communication,Attack Category: Sensing Vulnerabilities,Attack Category: Service vulnerabilities,Attack Category: Weak/no Authentication,Attack Category: Weak/no Encryption,Attack Category: Programming Vulnerabilities,Attack Category: N/A,Mitigation: Patching,Mitigation: Device replacement,Mitigation: Fundamental Changes,Mitigation: Regulations,Mitigation: N/A
ghena2014green,,X,X,,,,X,,,X,X,X,X,X,X,,X,X,X,X,
exposingCongestion2018,X,X,X,,,X,X,X,,,X,X,,,,,X,,,,
spradley80:book,,,,,,,,,,,,,,,,,,,,,
dewalt11:book,,,,,,,,,,,,,,,,,,,,,
sundaramurthy2015human,,,,,,,,,,,,,,,,,,,,,
sundaramurthy16:soups,,,,,,,,,,,,,,,,,,,,,
ernst2017framework,,,X,,,X,X,,,,X,,,,,,,X,X,,
gpsReplay2008,,,X,,,X,,,,,X,,,,,,,X,X,,
gpstime2015,,,X,,,X,,,,,X,,,,,,,X,X,,
gpsjam2014,,,X,,,X,,,,,X,,,,,,,X,X,,
aircraftGpsSpoof2014,,,X,,,X,,,,,X,,,,,,,X,X,,
yachtGpsSpoof2016,,,X,,,X,,,,,X,,,,,,,X,X,,
remoteCamLidar2015,X,X,,,,X,,,,,X,,,,,,,,X,,
trustAutoSensor2016,X,X,,,,X,,,,,X,,,,,,,,X,,
scmspaper2013,X,,X,,X,X,,,,X,,,,X,,,X,,,X,
gpsBelongs2018,,,X,,,X,,,,,X,,,,,,,,X,,
analyzeUltra2018,,,X,,,X,,,,,X,,,,,,,,X,,
autoVehUltra2018,X,,X,,,X,,,,,X,,,,,,,,X,,
cvprotocols,X,,X,,,X,,,,X,,X,X,X,,,,,X,,
vidSurv2016,,X,,,X,X,,,,X,X,,X,,,,X,,X,,
expPhysicalAuto2010,X,,,,,,X,,,,,X,,,,,X,,,,
comprehensiveAuto2011,X,,,,,,X,,,,,X,,,,,X,,,,
dynamicMsgSigns2018,,X,X,,,,X,,,,,X,X,X,X,,X,X,,,
vxworks2014,,,X,,,,X,,,,,X,X,X,X,,X,X,,,
allwaygreen2019,,,X,,,,X,,X,X,X,X,X,X,X,,X,X,X,X,
zombiesAhead2014,,X,,,,,X,,,,,X,X,X,X,,X,X,,,
dmsImportance2000,,X,,,,,X,,,,,,,,,X,,,,,X
signalTimingBenefits2004,,,X,,,,X,,,,,,,,,X,,,,,X
tmcreview2017,,,,X,,X,,X,X,X,,,,,,X,,,,,X
greendrive2017,X,,,,X,,,X,X,,,,,,,X,,,,,X
signalguru2011,X,,,,X,,,X,X,,,,,,,X,,,,,X
connectedSigsPaper2016,X,,,X,X,,X,X,X,,,,,,,X,,,,,X
connectedSigsPatent2019,X,,,X,X,,X,X,X,,,,,,,X,,,,,X
sokiot2019,,,,,X,,,X,X,,,X,X,X,X,,X,X,X,,
dependableDetection2019,,X,X,,,,X,X,,,X,,,,,,,,X,,
googlewazeKnows2013,X,,,,,,,X,X,,X,X,,,,,X,,,,
waze2015,X,,,,,,,X,X,,X,X,,,,,X,,,,
intelVehNet2012,X,,,,,,,,,X,,,,,,X,,,,,X
dsrcStandard2011,X,,X,,,,,,,X,,,,,,X,,,,,X
losingcarkeys,,,X,,,,,,,X,,,,X,,,,,X,X,
autoReverseProt2013,X,,,,,,,,,X,,,,X,,,,,X,X,
autoReverseProtSurvey2018,X,,,,,,,,,X,,,,,X,,,,X,X,
tirePressure2010,X,,,,,X,,,X,X,,,,X,,,X,,X,X,
dsrcThreats2006,X,,X,,,,,,,X,,,,X,,,X,,X,,
dsrcSecureset2017,X,,X,,,,,,,X,,,,X,,,X,,,,
soktls2013,X,X,X,X,X,,,,,X,,,,X,,,X,,X,X,
canRetrofit2012,X,,,,,,,,,X,,,,X,,,,,X,,
cvriskassessment2016,X,,,,,,X,X,,X,X,X,X,X,,,X,X,,,
scmsv2x2018,X,,X,,,X,,,,X,,,,,,X,,,,,X
cerrudoDetector,,X,X,,,,,,,,,,,,,,,,,,